Department,Course,Section,Title,Course Division,Credits,Limit,Enrolled,Start Date,End Date,Offer Days1,Time From1,Time To1,Instructor1,Room Abbreviation1,Room Number1,Campus1,Offer Days2,Time From2,Time To2,Instructor2,Room Abbreviation2,Room Number2,Campus2
AAD,10000,OL11,Intro to Art and Design,"ARTS, MEDIA AND COMMUNICATIONS",3,22,19,1/13/2020,3/8/2020,ARR,,,Weber Joseph,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,10050,11,Web Design I,"ARTS, MEDIA AND COMMUNICATIONS",3,20,20,1/13/2020,5/8/2020,MW,9:30AM,10:45AM,Blum Erica,SPLMN,4095,MAIN,,,,,,,
AAD,10050,OL02,Web Design I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Avery Kimberly,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,10050,OL11,Web Design I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,13,1/13/2020,3/8/2020,ARR,,,Pusczak Chris,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,10200,21,Art and Design Seminar,"ARTS, MEDIA AND COMMUNICATIONS",0,200,112,1/13/2020,5/8/2020,F,9:30AM,10:45AM,Weber Joseph,ROEMR,209,MAIN,,,,,,,
AAD,10600,11,Design I,"ARTS, MEDIA AND COMMUNICATIONS",3,18,19,1/13/2020,5/8/2020,TR,9:30AM,12:20PM,DaVania James,ROEMR,310,MAIN,,,,,,,
AAD,10600,OL01,Design I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,1/13/2020,5/8/2020,ARR,,,Elliott Emily,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,11000,OL21,Programming Logic,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Lavella Mike,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,11600,01,Drag and Drop Web Design,"ARTS, MEDIA AND COMMUNICATIONS",3,18,19,1/13/2020,5/8/2020,MW,11:00AM,12:15PM,Stepanek Tara,LARC,319,MAIN,,,,,,,
AAD,12000,OL01,Digital Foundations,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Lantzman Jared,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,12000,OL02,Digital Foundations,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,3/8/2020,ARR,,,Avery Kimberly,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,12000,OL11,Digital Foundations,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,1/13/2020,3/8/2020,ARR,,,Robinson Jonathan,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,12000,OL21,Digital Foundations,"ARTS, MEDIA AND COMMUNICATIONS",3,18,19,3/16/2020,5/8/2020,ARR,,,Lavella Mike,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,13000,11,Drawing I,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,MW,9:00AM,11:50AM,Troy John,ROEMR,210,MAIN,,,,,,,
AAD,13000,OL01,Drawing I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,14,1/13/2020,5/8/2020,ARR,,,Robertson Bryan,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,13600,11,Design II (GE-HC:Arts),"ARTS, MEDIA AND COMMUNICATIONS",3,18,17,1/13/2020,5/8/2020,TR,9:30AM,12:20PM,Elliott Emily,BUTLR,1,MAIN,,,,,,,
AAD,13600,OL21,Design II (GE-HC:Arts),"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Weber Joseph,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,14000,11,Visual Storytelling,"ARTS, MEDIA AND COMMUNICATIONS",3,18,17,1/13/2020,5/8/2020,MW,1:00PM,2:15PM,Hatfield Rachel,SPLMN,4095,MAIN,,,,,,,
AAD,14000,OL21,Visual Storytelling,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Scholle Ben,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,18101,21,Digital Photography I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,MW,3:00PM,5:50PM,Frohling Krista,JSCHE,2010,MAIN,,,,,,,
AAD,18101,BV11,Digital Photography I (GE-HC:Arts)(GE-FineArt),BV-HUMANITIES,3,20,18,1/13/2020,5/8/2020,TR,9:30AM,10:45AM,Hodges Jennifer,C,102,BELLEVILLE,,,,,,,
AAD,18101,OL01,Digital Photography I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,15,12,1/13/2020,5/8/2020,ARR,,,Frohling Krista,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,18101,OL11,Digital Photography I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,15,14,1/13/2020,3/8/2020,ARR,,,Kitt Robert,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,18101,OL21,Digital Photography I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,3/16/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,20000,21,Painting I,"ARTS, MEDIA AND COMMUNICATIONS",3,18,3,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Troy John,BUTLR,3,MAIN,,,,,,,
AAD,20200,OL01,Design with Photoshop,"ARTS, MEDIA AND COMMUNICATIONS",3,18,20,1/13/2020,5/8/2020,ARR,,,Blum Erica,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,20200,OL02,Design with Photoshop,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,ARR,,,Lantzman Jared,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,21500,21,Printmaking I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,4,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Troy John,BUTLR,1,MAIN,,,,,,,
AAD,23400,HYB01,Fibers I,"ARTS, MEDIA AND COMMUNICATIONS",3,10,3,1/13/2020,5/8/2020,W,6:00PM,8:50PM,Ottwell Nicole,BUTLR,1,MAIN,,,,,,,
AAD,24000,21,Art and Design Firm I,"ARTS, MEDIA AND COMMUNICATIONS",3,10,9,1/13/2020,5/8/2020,MW,2:30PM,3:45PM,Stepanek Tara,SPLMN,4090,MAIN,,,,,,,
AAD,24100,11,Ceramics I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,18,17,1/13/2020,5/8/2020,MW,9:00AM,11:50AM,Hargate Jon,BUTLR,2,MAIN,,,,,,,
AAD,24100,21,Ceramics I (GE-HC:Arts)(GE-FineArt),"ARTS, MEDIA AND COMMUNICATIONS",3,18,13,1/13/2020,5/8/2020,MW,3:00PM,5:50PM,Hargate Jon,BUTLR,2,MAIN,,,,,,,
AAD,25000,OL01,Typography I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,14,1/13/2020,5/8/2020,ARR,,,Robinson Jonathan,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,30000,11,Portfolio and Career Foundations,"ARTS, MEDIA AND COMMUNICATIONS",3,20,17,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Blum Erica,LARC,322,MAIN,,,,,,,
AAD,30100,31,Print Design and Production,"ARTS, MEDIA AND COMMUNICATIONS",3,15,17,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Borgard Greg,JSCHE,2010,MAIN,,,,,,,
AAD,30105,11,Applied Art and Design,"ARTS, MEDIA AND COMMUNICATIONS",3,15,3,1/13/2020,5/8/2020,MW,1:00PM,2:15PM,Blum Erica,SPLMN,4090,MAIN,,,,,,,
AAD,30500,21,Painting II,"ARTS, MEDIA AND COMMUNICATIONS",3,5,3,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Troy John,BUTLR,3,MAIN,,,,,,,
AAD,30600,11,Imaging and Illustration,"ARTS, MEDIA AND COMMUNICATIONS",3,15,15,1/13/2020,5/8/2020,TR,9:30AM,12:20PM,Schmickle Dennis,JSCHE,2280,MAIN,,,,,,,
AAD,31000,OL01,Design with Illustrator,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,ARR,,,Blum Erica,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,31000,OL02,Design with Illustrator,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,ARR,,,Lavella Mike,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,31500,21,Printmaking II,"ARTS, MEDIA AND COMMUNICATIONS",3,3,4,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Troy John,BUTLR,1,MAIN,,,,,,,
AAD,32000,21,Art and Design Firm II,"ARTS, MEDIA AND COMMUNICATIONS",3,6,5,1/13/2020,5/8/2020,MW,2:30PM,3:45PM,Stepanek Tara,SPLMN,4090,MAIN,,,,,,,
AAD,32200,11,Motion Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,15,15,1/13/2020,5/8/2020,TR,9:30AM,12:20PM,Collier Darren,JSCHE,2010,MAIN,,,,,,,
AAD,32200,22,Motion Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,15,15,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Collier Darren,JSCHE,2010,MAIN,,,,,,,
AAD,32500,12,Desktop Publishing,"ARTS, MEDIA AND COMMUNICATIONS",3,20,22,1/13/2020,5/8/2020,MW,9:30AM,10:45AM,Stepanek Tara,SPLMN,4100,MAIN,,,,,,,
AAD,33000,21,Drawing II,"ARTS, MEDIA AND COMMUNICATIONS",3,12,7,1/13/2020,5/8/2020,MW,12:00PM,2:50PM,Hargate Jon,ROEMR,210,MAIN,,,,,,,
AAD,33100,21,Figure Drawing I,"ARTS, MEDIA AND COMMUNICATIONS",3,20,5,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Nicholson Zoe,ROEMR,210,MAIN,,,,,,,
AAD,33400,HYB01,Fibers II,"ARTS, MEDIA AND COMMUNICATIONS",3,10,3,1/13/2020,5/8/2020,W,6:00PM,8:50PM,Ottwell Nicole,BUTLR,1,MAIN,,,,,,,
AAD,33600,OL01,3D Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,15,16,1/13/2020,5/8/2020,ARR,,,Ratican Jeremiah,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,33600,OL02,3D Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,18,17,1/13/2020,5/8/2020,ARR,,,Borgard Greg,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,33610,OL01,Digital Art II,"ARTS, MEDIA AND COMMUNICATIONS",3,15,7,1/13/2020,5/8/2020,ARR,,,Cotroneo Peter,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,34600,OL01,Digital Art III,"ARTS, MEDIA AND COMMUNICATIONS",3,15,7,1/13/2020,5/8/2020,ARR,,,Cotroneo Peter,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,35001,OL01,Digital Photography II,"ARTS, MEDIA AND COMMUNICATIONS",3,15,20,1/13/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,36001,OL01,Digital Photography III,"ARTS, MEDIA AND COMMUNICATIONS",3,15,20,1/13/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,36100,OL01,Web Design - User Experience I,"ARTS, MEDIA AND COMMUNICATIONS",3,15,23,1/13/2020,5/8/2020,ARR,,,Kussman Justin,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,36200,HYB01,Web Design - User Experience II,"ARTS, MEDIA AND COMMUNICATIONS",3,20,7,1/13/2020,5/8/2020,R,9:30AM,11:00AM,Kussman Justin,SPLMN,4100,MAIN,,,,,,,
AAD,36300,HYB01,Web Design - User Experience III,"ARTS, MEDIA AND COMMUNICATIONS",3,20,7,1/13/2020,5/8/2020,T,9:30AM,11:00AM,Kussman Justin,SPLMN,4100,MAIN,,,,,,,
AAD,40400,TUT01,Ceramics III,"ARTS, MEDIA AND COMMUNICATIONS",3,5,1,1/13/2020,5/8/2020,ARR,,,Weber Joseph,TUTRL,TUTORIAL,MAIN,,,,,,,
AAD,41000,HYB01,Art and Design Capstone,"ARTS, MEDIA AND COMMUNICATIONS",3,20,10,1/13/2020,5/8/2020,F,1:00PM,3:00PM,Schmickle Dennis,BUTLR,1,MAIN,,,,,,,
AAD,41000,HYB02,Art and Design Capstone,"ARTS, MEDIA AND COMMUNICATIONS",3,20,10,1/13/2020,5/8/2020,F,1:00PM,3:00PM,Schmickle Dennis,BUTLR,1,MAIN,,,,,,,
AAD,41500,21,Printmaking III,"ARTS, MEDIA AND COMMUNICATIONS",3,5,1,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Troy John,BUTLR,1,MAIN,,,,,,,
AAD,41510,21,Printmaking IV,"ARTS, MEDIA AND COMMUNICATIONS",3,99,1,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Troy John,BUTLR,1,MAIN,,,,,,,
AAD,41900,11,Graphic Design Studio,"ARTS, MEDIA AND COMMUNICATIONS",3,15,7,1/13/2020,5/8/2020,MW,9:00AM,11:50AM,Collier Darren,JSCHE,2280,MAIN,,,,,,,
AAD,42400,11,Applications for Mobile Devices,"ARTS, MEDIA AND COMMUNICATIONS",3,16,25,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Kussman Justin,SPLMN,4100,MAIN,,,,,,,
AAD,43000,21,Drawing III,"ARTS, MEDIA AND COMMUNICATIONS",3,3,1,1/13/2020,5/8/2020,MW,12:00PM,2:50PM,Hargate Jon,ROEMR,210,MAIN,,,,,,,
AAD,43200,21,Figure Drawing II,"ARTS, MEDIA AND COMMUNICATIONS",3,20,1,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Nicholson Zoe,ROEMR,210,MAIN,,,,,,,
AAD,44600,OL01,Digital Art IV,"ARTS, MEDIA AND COMMUNICATIONS",3,15,7,1/13/2020,5/8/2020,ARR,,,Cotroneo Peter,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,46001,OL01,Digital Photography IV,"ARTS, MEDIA AND COMMUNICATIONS",3,15,20,1/13/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,49001,21,Special Topics: Printmaking V,"ARTS, MEDIA AND COMMUNICATIONS",4,3,1,1/13/2020,5/8/2020,ARR,,,Troy John,ARR,ARRANGED,MAIN,,,,,,,
AAD,50500,01,Painting,"ARTS, MEDIA AND COMMUNICATIONS",3,5,1,1/13/2020,5/8/2020,TR,3:30PM,6:20PM,Troy John,BUTLR,3,MAIN,,,,,,,
AAD,51000,OL01,Design with Illustrator,"ARTS, MEDIA AND COMMUNICATIONS",3,18,18,1/13/2020,5/8/2020,ARR,,,Blum Erica,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,52200,22,Motion Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,15,15,1/13/2020,5/8/2020,TR,12:30PM,3:20PM,Collier Darren,JSCHE,2010,MAIN,,,,,,,
AAD,52300,OL01,Digital Art II,"ARTS, MEDIA AND COMMUNICATIONS",3,15,1,1/13/2020,5/8/2020,ARR,,,Cotroneo Peter,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,52450,11,Applications for Mobile Devices,"ARTS, MEDIA AND COMMUNICATIONS",3,16,2,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Kussman Justin,SPLMN,4100,MAIN,,,,,,,
AAD,53001,OL01,Digital Photography,"ARTS, MEDIA AND COMMUNICATIONS",3,15,20,1/13/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,53400,HYB01,Fibers,"ARTS, MEDIA AND COMMUNICATIONS",3,10,1,1/13/2020,5/8/2020,W,6:00PM,8:50PM,Ottwell Nicole,BUTLR,1,MAIN,,,,,,,
AAD,53600,OL01,3D Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,15,16,1/13/2020,5/8/2020,ARR,,,Ratican Jeremiah,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,53600,OL2,3D Graphics,"ARTS, MEDIA AND COMMUNICATIONS",3,18,17,1/13/2020,5/8/2020,ARR,,,Borgard Greg,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,54001,OL01,Digital Photography II,"ARTS, MEDIA AND COMMUNICATIONS",3,15,20,1/13/2020,5/8/2020,ARR,,,Rosener Russell,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,55400,OL01,Web Design II,"ARTS, MEDIA AND COMMUNICATIONS",3,15,23,1/13/2020,5/8/2020,ARR,,,Kussman Justin,ONLIN,ONLINE,ONLINE,,,,,,,
AAD,56400,HYB01,Web Design III,"ARTS, MEDIA AND COMMUNICATIONS",3,20,2,1/13/2020,5/8/2020,T,9:30AM,11:00AM,Kussman Justin,SPLMN,4100,MAIN,,,,,,,
ABRD,00012,SA11,Study Abroad Placement,STUDENT AND ACADEMIC SUPPORT SERVICES,12,99,12,1/13/2020,5/8/2020,ARR,,,Snell Elizabeth,ARR,ARRANGED,MAIN,,,,,,,
ABRD,00015,SA11,Study Abroad Placement,STUDENT AND ACADEMIC SUPPORT SERVICES,15,99,0,1/13/2020,5/8/2020,ARR,,,Snell Elizabeth,ARR,ARRANGED,MAIN,,,,,,,
ABRD,1,11,Study Abroad,LU-INTERNAL,0,99,12,1/13/2020,5/8/2020,ARR,,,Snell Elizabeth,ARR,ARRANGED,MAIN,,,,,,,
ACCT,21010,12,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,28,1/13/2020,5/8/2020,MWF,10:00AM,10:50AM,Bosnick James,HARMN,233,MAIN,,,,,,,
ACCT,21010,13,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,30,1/13/2020,5/8/2020,MWF,12:00PM,12:50PM,Bosnick James,HARMN,137,MAIN,,,,,,,
ACCT,21010,1HWP1,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,6,1/13/2020,3/8/2020,W,6:00PM,10:00PM,Manion Jessica,WPORT,252,WESTPORT,,,,,,,
ACCT,21010,21,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,30,1/13/2020,5/8/2020,TR,11:00AM,12:15PM,Quinn John,HARMN,137,MAIN,,,,,,,
ACCT,21010,22,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,26,1/13/2020,5/8/2020,TR,1:00PM,2:15PM,Quinn John,HARMN,145,MAIN,,,,,,,
ACCT,21010,BV12,Principles of Financial Accounting,BV-BUSINESS & ENTREPRENEURSHIP,3,25,10,1/13/2020,5/8/2020,MW,9:30AM,10:45AM,Glass Alan,BLV-L,104,BELLEVILLE,,,,,,,
ACCT,21010,OL11,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,19,1/13/2020,3/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL12,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,13,1/13/2020,3/8/2020,ARR,,,Willbrand Kim,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL21,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,20,21,3/16/2020,5/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21010,OL22,Principles of Financial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,0,0,3/16/2020,5/8/2020,ARR,,,Bowman Sean,ONLIN,ONLINE,ONLINE,,,,,,,
ACCT,21011,11,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,32,1/13/2020,5/8/2020,MWF,10:00AM,10:50AM,Coleman Steve,HARMN,131,MAIN,,,,,,,
ACCT,21011,12,Principles of Managerial Accounting,PLASTER BUSINESS & ENTREPRENEURSHIP,3,30,29,1/13/2020,5/8/2020,MWF,11:00AM,11:50AM,Quinn John,HARMN,131,MAIN,,,,,,,
